YEAR,QUARTER,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,ARR_DELAY_NEW,ARR_DEL15,ARR_TIME_BLK,CANCELLED,DIVERTED,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,AIR_TIME,DISTANCE,DISTANCE_GROUP
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,2283,14843,SJU,"San Juan, PR",PR,13303,MIA,"Miami, FL",FL,949,,,,,0900-0959,1149,,,,,1100-1159,1.0,0.0,180.0,,,1045.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,3091,12953,LGA,"New York, NY",NY,11042,CLE,"Cleveland, OH",OH,2255,,,,,2200-2259,43,,,,,0001-0559,1.0,0.0,108.0,,,419.0,2
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,3092,11042,CLE,"Cleveland, OH",OH,12953,LGA,"New York, NY",NY,2025,,,,,2000-2059,2200,,,,,2200-2259,1.0,0.0,95.0,,,419.0,2
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,3378,13303,MIA,"Miami, FL",FL,14843,SJU,"San Juan, PR",PR,505,,,,,0001-0559,839,,,,,0800-0859,1.0,0.0,154.0,,,1045.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,3885,11298,DFW,"Dallas/Fort Worth, TX",TX,12889,LAS,"Las Vegas, NV",NV,2247,,,,,2200-2259,2354,,,,,2300-2359,1.0,0.0,187.0,,,1055.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,4036,10397,ATL,"Atlanta, GA",GA,11042,CLE,"Cleveland, OH",OH,2115,,,,,2100-2159,2313,,,,,2300-2359,1.0,0.0,118.0,,,554.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,4966,12889,LAS,"Las Vegas, NV",NV,11042,CLE,"Cleveland, OH",OH,2350,,,,,2300-2359,700,,,,,0700-0759,1.0,0.0,250.0,,,1824.0,8
2026,1,1,1,4,1/1/2026 12:00:00 AM,F9,777,11292,DEN,"Denver, CO",CO,12889,LAS,"Las Vegas, NV",NV,2237,,,,,2200-2259,2342,,,,,2300-2359,1.0,0.0,125.0,,,628.0,3
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1006,11697,FLL,"Fort Lauderdale, FL",FL,14100,PHL,"Philadelphia, PA",PA,2029,,,,,2000-2059,2317,,,,,2300-2359,1.0,0.0,168.0,,,993.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1014,14100,PHL,"Philadelphia, PA",PA,14843,SJU,"San Juan, PR",PR,2004,,,,,2000-2059,50,,,,,0001-0559,1.0,0.0,226.0,,,1576.0,7
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1206,11433,DTW,"Detroit, MI",MI,13204,MCO,"Orlando, FL",FL,600,,,,,0600-0659,845,,,,,0800-0859,1.0,0.0,165.0,,,957.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1212,12266,IAH,"Houston, TX",TX,13930,ORD,"Chicago, IL",IL,1730,,,,,1700-1759,2004,,,,,2000-2059,1.0,0.0,154.0,,,925.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1213,13930,ORD,"Chicago, IL",IL,12266,IAH,"Houston, TX",TX,2109,,,,,2100-2159,2359,,,,,2300-2359,1.0,0.0,170.0,,,925.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1343,11697,FLL,"Fort Lauderdale, FL",FL,14122,PIT,"Pittsburgh, PA",PA,2000,,,,,2000-2059,2242,,,,,2200-2259,1.0,0.0,162.0,,,994.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1422,11618,EWR,"Newark, NJ",NJ,11697,FLL,"Fort Lauderdale, FL",FL,1832,,,,,1800-1859,2150,,,,,2100-2159,1.0,0.0,198.0,,,1065.0,5
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1478,13204,MCO,"Orlando, FL",FL,14122,PIT,"Pittsburgh, PA",PA,2038,,,,,2000-2059,2259,,,,,2200-2259,1.0,0.0,141.0,,,834.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,148,11697,FLL,"Fort Lauderdale, FL",FL,10821,BWI,"Baltimore, MD",MD,700,,,,,0700-0759,935,,,,,0900-0959,1.0,0.0,155.0,,,925.0,4
2026,1,1,1,4,1/1/2026 12:00:00 AM,NK,1481,13930,ORD,"Chicago, IL",IL,14843,SJU,"San Juan, PR",PR,545,,,,,0001-0559,1226,,,,,1200-1259,1.0,0.0,281.0,,,2072.0,9
